"ENTITY","YEAR","RECORDS LOST","ORGANISATION","METHOD OF LEAK","DATA SENSITIVITY","RECORDS LOST RANGE"
"Puerto Rico Department of Health",2010,515000,"healthcare","hacked","Email password/Health records","[400K - 2,5M)"
"Ohio State University",2010,760000,"academic","hacked","SSN/Personal Details","[400K - 2,5M)"
"Gawker.com",2010,1500000,"web","hacked","SSN/Personal Details","[400K - 2,5M)"
"Betfair",2010,2300000,"web","hacked","Credit Card info","[400K - 2,5M)"
"Embassy Cables",2010,251000,"government","inside job","Full bank account details","[1025 - 400K)"
"US Military",2010,260000,"military","inside job","Full bank account details","[1025 - 400K)"
"Classified Iraq War documents",2010,392000,"government","inside job","SSN/Personal Details","[1025 - 400K)"
"Colorado government",2010,105470,"healthcare","lost / stolen device or media","SSN/Personal Details","[1025 - 400K)"
"Lincoln Medical & Mental Health Center",2010,130495,"healthcare","lost / stolen device or media","Email password/Health records","[1025 - 400K)"
"Emergency Healthcare Physicians, Ltd.",2010,180111,"healthcare","lost / stolen device or media","Email password/Health records","[1025 - 400K)"
"Triple-S Salud, Inc.",2010,398000,"healthcare","lost / stolen device or media","Email password/Health records","[1025 - 400K)"
"South Shore Hospital, Massachusetts",2010,8e+05,"healthcare","lost / stolen device or media","Full bank account details","[400K - 2,5M)"
"New York City Health & Hospitals Corp.",2010,1700000,"healthcare","lost / stolen device or media","Email password/Health records","[400K - 2,5M)"
"JP Morgan Chase",2010,2600000,"financial","lost / stolen device or media","Credit Card info","[2,5M - 14M)"
"Educational Credit Management Corp",2010,3300000,"financial","lost / stolen device or media","SSN/Personal Details","[2,5M - 14M)"
"US Army",2011,50000,"military","accidentally published","Email/Online info","[1025 - 400K)"
"State of Texas",2011,3500000,"government","accidentally published","SSN/Personal Details","[2,5M - 14M)"
"Writerspace.com",2011,62000,"web","hacked","Email/Online info","[1025 - 400K)"
"University of Wisconsin - Milwaukee",2011,73000,"academic","hacked","SSN/Personal Details","[1025 - 400K)"
"US Law Enforcement",2011,123461,"government","hacked","Credit Card info","[1025 - 400K)"
